timestamp_pc,b_x,b_y,b_z,lat,lon,altitude,thetax,thetay,thetaz,sensor_id
24:40.0,7746.664,9395.448,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.0,6830.673,9892.699,14027.742,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.1,6935.357,9473.96,15126.931,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.3,7432.609,9343.105,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.3,6856.844,9892.699,14943.733,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.4,6987.7,9343.105,15205.445,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.6,7406.438,9526.303,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.6,6935.357,9578.645,15022.246,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.7,7144.727,9343.105,14865.219,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:40.9,7327.925,9630.988,14760.535,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.0,6961.529,9683.33,14943.733,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.1,7249.411,9212.249,15283.958,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.6,7249.411,9657.159,14210.941,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.6,6883.015,9630.988,14865.219,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.6,7354.096,9264.59,15100.76,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.6,7249.411,9578.645,14446.481,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.7,6883.015,9421.618,15310.128,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.7,7432.609,9421.618,14629.679,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.8,7118.556,9552.473,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:41.9,7066.213,9500.131,14917.562,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.4,7354.096,9473.96,14943.733,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.4,7040.042,9709.5,14786.706,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.4,6935.357,9421.618,14839.048,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.4,7327.925,9316.933,15205.445,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.5,6935.357,9840.356,14315.625,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.5,7092.384,9238.42,14786.706,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.6,7275.583,9526.303,14839.048,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.7,6883.015,9552.473,14996.075,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.8,6961.529,9316.933,15336.3,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:42.9,7223.24,9473.96,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.0,6909.187,9604.816,15126.931,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.1,7144.727,9264.59,14996.075,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.2,6909.187,9761.843,14263.283,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.3,6961.529,9526.303,14891.39,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.4,7223.24,9238.42,15100.76,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:43.5,7066.213,9814.186,14577.336,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.0,6778.331,9630.988,14891.39,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.0,7275.583,9290.762,15048.417,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.0,6909.187,9630.988,14708.192,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.1,6804.501,9526.303,15283.958,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.1,7275.583,9264.59,14682.022,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.1,6673.646,9840.356,14184.769,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.2,6856.844,9395.448,15231.616,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.3,7249.411,9473.96,14891.39,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.6,6830.673,9814.186,14708.192,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
24:44.9,6961.529,9421.618,15205.445,26.5123251,80.2238068,2018,0,0,0,S963350075783_20250605_112438
